yyyy-mm-dd hh:mm:ss,W/m²
2020-06-01 00:00:00,0
2020-06-01 00:15:00,0
2020-06-01 00:30:00,0
2020-06-01 00:45:00,0
2020-06-01 01:00:00,0
2020-06-01 01:15:00,0
2020-06-01 01:30:00,0
2020-06-01 01:45:00,0
2020-06-01 02:00:00,0
2020-06-01 02:15:00,0
2020-06-01 02:30:00,0
2020-06-01 02:45:00,0
2020-06-01 03:00:00,0
2020-06-01 03:15:00,0
2020-06-01 03:30:00,0
2020-06-01 03:45:00,0
2020-06-01 04:00:00,0
2020-06-01 04:15:00,0
2020-06-01 04:30:00,0
2020-06-01 04:45:00,4.666666666666667
2020-06-01 05:00:00,15.066666666666666
2020-06-01 05:15:00,32.266666666666666
2020-06-01 05:30:00,55.93333333333333
2020-06-01 05:45:00,85.46666666666667
2020-06-01 06:00:00,119.2
2020-06-01 06:15:00,155.6
2020-06-01 06:30:00,194.46666666666667
2020-06-01 06:45:00,233.93333333333334
2020-06-01 07:00:00,273.4
2020-06-01 07:15:00,314.2
2020-06-01 07:30:00,354.26666666666665
2020-06-01 07:45:00,395.6666666666667
2020-06-01 08:00:00,437.4
2020-06-01 08:15:00,479
2020-06-01 08:30:00,519.4
2020-06-01 08:45:00,559.6666666666666
2020-06-01 09:00:00,597.2666666666667
2020-06-01 09:15:00,633.1333333333333
2020-06-01 09:30:00,669.2666666666667
2020-06-01 09:45:00,700.6
2020-06-01 10:00:00,732.4666666666667
2020-06-01 10:15:00,762.5333333333333
2020-06-01 10:30:00,789.8666666666667
2020-06-01 10:45:00,815.9333333333333
2020-06-01 11:00:00,835.4666666666667
2020-06-01 11:15:00,860.4
2020-06-01 11:30:00,877
2020-06-01 11:45:00,893.2
2020-06-01 12:00:00,903.4
2020-06-01 12:15:00,912.8
2020-06-01 12:30:00,919.5333333333333
2020-06-01 12:45:00,921.8666666666667
2020-06-01 13:00:00,922.0666666666667
2020-06-01 13:15:00,920.4
2020-06-01 13:30:00,914.3333333333334
2020-06-01 13:45:00,906.7333333333333
2020-06-01 14:00:00,893.4
2020-06-01 14:15:00,877.7333333333333
2020-06-01 14:30:00,860.9333333333333
2020-06-01 14:45:00,842.8
2020-06-01 15:00:00,821.0666666666667
2020-06-01 15:15:00,797.5333333333333
2020-06-01 15:30:00,772.4666666666667
2020-06-01 15:45:00,742.3333333333334
2020-06-01 16:00:00,712.2666666666667
2020-06-01 16:15:00,681.9333333333333
2020-06-01 16:30:00,646.9333333333333
2020-06-01 16:45:00,610.4
2020-06-01 17:00:00,574.8
2020-06-01 17:15:00,534.1333333333333
2020-06-01 17:30:00,494.8
2020-06-01 17:45:00,455.73333333333335
2020-06-01 18:00:00,413.3333333333333
2020-06-01 18:15:00,311.8
2020-06-01 18:30:00,285.2
2020-06-01 18:45:00,293.6
2020-06-01 19:00:00,248.2
2020-06-01 19:15:00,209.53333333333333
2020-06-01 19:30:00,170.33333333333334
2020-06-01 19:45:00,134.33333333333334
2020-06-01 20:00:00,100.2
2020-06-01 20:15:00,69.46666666666667
2020-06-01 20:30:00,43.86666666666667
2020-06-01 20:45:00,23.533333333333335
2020-06-01 21:00:00,9.866666666666667
2020-06-01 21:15:00,1.4666666666666668
2020-06-01 21:30:00,0
2020-06-01 21:45:00,0
2020-06-01 22:00:00,0
2020-06-01 22:15:00,0
2020-06-01 22:30:00,0
2020-06-01 22:45:00,0
2020-06-01 23:00:00,0
2020-06-01 23:15:00,0
2020-06-01 23:30:00,0
2020-06-01 23:45:00,0
2020-06-02 00:00:00,0
2020-06-02 00:15:00,0
2020-06-02 00:30:00,0
2020-06-02 00:45:00,0
2020-06-02 01:00:00,0
2020-06-02 01:15:00,0
2020-06-02 01:30:00,0
2020-06-02 01:45:00,0
2020-06-02 02:00:00,0
2020-06-02 02:15:00,0
2020-06-02 02:30:00,0
2020-06-02 02:45:00,0
2020-06-02 03:00:00,0
2020-06-02 03:15:00,0
2020-06-02 03:30:00,0
2020-06-02 03:45:00,0
2020-06-02 04:00:00,0
2020-06-02 04:15:00,0
2020-06-02 04:30:00,0
2020-06-02 04:45:00,5
2020-06-02 05:00:00,15.266666666666667
2020-06-02 05:15:00,31.2
2020-06-02 05:30:00,54.4
2020-06-02 05:45:00,82.4
2020-06-02 06:00:00,114.26666666666667
2020-06-02 06:15:00,149.46666666666667
2020-06-02 06:30:00,187.6
2020-06-02 06:45:00,225.4
2020-06-02 07:00:00,263.6
2020-06-02 07:15:00,302.53333333333336
2020-06-02 07:30:00,344.26666666666665
2020-06-02 07:45:00,386.4
2020-06-02 08:00:00,427.8666666666667
2020-06-02 08:15:00,468.73333333333335
2020-06-02 08:30:00,509.2
2020-06-02 08:45:00,547.0666666666667
2020-06-02 09:00:00,584.0666666666667
2020-06-02 09:15:00,620.3333333333334
2020-06-02 09:30:00,655.4666666666667
2020-06-02 09:45:00,685.8666666666667
2020-06-02 10:00:00,716.9333333333333
2020-06-02 10:15:00,746.2666666666667
2020-06-02 10:30:00,774.1333333333333
2020-06-02 10:45:00,728.8
2020-06-02 11:00:00,807.2
2020-06-02 11:15:00,834.8666666666667
2020-06-02 11:30:00,852.4666666666667
2020-06-02 11:45:00,873.0666666666667
2020-06-02 12:00:00,834.6
2020-06-02 12:15:00,880.6666666666666
2020-06-02 12:30:00,885.3333333333334
2020-06-02 12:45:00,919.5333333333333
2020-06-02 13:00:00,938.1333333333333
2020-06-02 13:15:00,603.1333333333333
2020-06-02 13:30:00,546.6666666666666
